centre_id,address,geometry,operating_hours
202,2 Gledhill Ave,MULTIPOINT ((-79.309286466 43.68754833)),Morning only
203,519 Church St,MULTIPOINT ((-79.38094262 43.666551956)),Weekend available
204,826 Bloor St W,MULTIPOINT ((-79.423005534 43.662671722)),Full day
205,45 Golfdown Dr,MULTIPOINT ((-79.552113787 43.722227299)),Full day
206,2395 Bayview Ave,MULTIPOINT ((-79.3805264909 43.7347500305)),Morning only
207,69 Nightstar Rd,MULTIPOINT ((-79.226125413 43.824299805)),Afternoon only
208,43 Gerrard St E,MULTIPOINT ((-79.3790567334 43.6596014581)),Weekend available
209,45 Overlea Blvd,MULTIPOINT ((-79.346255672 43.705538116)),Weekend available
210,3190 Lake Shore Blvd W,MULTIPOINT ((-79.519938243 43.597977149)),Full day
211,1260 Dufferin St,MULTIPOINT ((-79.439270611 43.667315005)),Morning only
212,74 Firvalley Crt,MULTIPOINT ((-79.278124242 43.70393994)),Morning only
213,627 Queens Quay W,MULTIPOINT ((-79.397765685 43.635405521)),Evening available
214,47 Cowley Ave,MULTIPOINT ((-79.560801624 43.65047134)),Full day
215,248 Ossington Ave,MULTIPOINT ((-79.4212130658 43.6497816627)),Weekend available
216,313 Pharmacy Ave,MULTIPOINT ((-79.2846817825 43.701416363)),Full day
217,95 Chapman Rd,MULTIPOINT ((-79.5196593 43.689096127)),Afternoon only
218,8 Templar Dr,MULTIPOINT ((-79.5549135046 43.6876771476)),Other
219,1050 Pharmacy Ave,MULTIPOINT ((-79.304114891 43.740153034)),Full day
220,105 Invergordon Ave,MULTIPOINT ((-79.247205815 43.787272101)),Full day
221,45 Windover Dr,MULTIPOINT ((-79.2095817268 43.7612067055)),Full day
222,330 Wilmington Ave,MULTIPOINT ((-79.460498024 43.768558382)),Full day
223,40 Dormington Dr,MULTIPOINT ((-79.22700167 43.77950279)),Full day
224,1571 Sandhurst Cir,MULTIPOINT ((-79.2693152889 43.8092293409)),Full day
225,160 Eglinton Ave E,MULTIPOINT ((-79.3936923822 43.7080358571)),Weekend available
226,30 Sheppard Ave E,MULTIPOINT ((-79.410074457 43.762079357)),Weekend available
227,1785 Finch Ave W,MULTIPOINT ((-79.50735919 43.758964884)),Other
228,25 Yorkwoods Gate,MULTIPOINT ((-79.513884747 43.75065984)),Full day
229,3090 Kingston Rd,MULTIPOINT ((-79.231548032 43.726309101)),Evening available
